node_id,x_mm,y_mm,z_mm,rho
335,-13.25,-0.45,2.0,0.0
336,-12.43645211,0.1,2.900725815,0.0024711
337,-14.75,0.1,2.0,0.0
338,-14.0,-0.45,2.0,0.0
339,-14.75,-0.45,2.0,0.0
340,-13.62419119,-0.45,2.7913846049999997,0.0036056
341,-13.18645211,0.1,2.900725815,0.0024711
342,-14.44566593,0.1,2.9631436570000003,0.014748
343,-16.25,0.1,2.9,0.01857
344,-16.25,-0.45,2.0,0.0
345,-15.5,-0.45,2.0,0.0
346,-16.25,-0.45,2.9,0.013196
347,-15.195665929999999,0.1,2.9631436570000003,0.014748
348,-17.0,0.1,10.1,0.9825
349,-16.055555560000002,0.1,11.0,1.0
350,-17.0,-0.45,11.0,1.0
351,-17.0,0.1,4.7,0.13173
352,-17.0,-0.45,3.8,0.031765
353,-17.0,-0.45,4.7,0.12479
354,-15.945665929999999,0.1,3.8631436569999997,0.033318
355,-17.0,0.1,6.5,0.45327
356,-17.0,-0.45,5.6,0.21938
357,-17.0,-0.45,6.5,0.42239
358,-15.93797396,-0.45,5.793576820999999,0.23734
359,-15.63554248,0.1,5.79271373,0.25449
360,-15.945665929999999,0.1,4.763143657,0.12791
361,-17.0,0.1,8.3,0.82261
362,-17.0,-0.45,7.4,0.64934
363,-17.0,-0.45,8.3,0.81431
364,-15.25694447,-0.45,8.07499999,0.73978
365,-15.93797396,-0.45,6.693576821000001,0.46428
366,-15.63554248,0.1,6.69271373,0.48143
367,-15.217399709999999,0.1,8.118577537,0.74013
368,-16.055555560000002,0.1,10.1,0.9825
369,-17.0,-0.45,10.1,0.9825
370,-17.0,-0.45,9.2,0.95671
371,-15.25694447,-0.45,8.974999989999999,0.88218
372,-15.217399709999999,0.1,9.018577537,0.88252
373,16.055555560000002,0.1,11.0,1.0
374,17.0,0.1,10.1,0.99011
375,17.0,-0.45,11.0,1.0
376,16.055555560000002,-0.45,11.0,1.0
377,16.50308651,-0.175,10.30000001,1.0
378,-14.16666667,0.1,11.0,1.0
379,-16.055555560000002,-0.45,11.0,1.0
380,-15.111111110000001,-0.45,11.0,1.0
381,-14.16666667,-0.45,11.0,1.0
382,-16.055555560000002,-0.45,10.1,0.9742
383,-14.31250002,-0.45,9.87499999,0.89967
384,-14.27295526,0.1,9.918577536999999,0.90001
385,-12.277777780000001,0.1,11.0,0.99602
386,-13.222222219999999,-0.45,11.0,1.0
387,-12.277777780000001,-0.45,11.0,0.99516
388,-13.32851082,0.1,9.918577536999999,0.90001
389,-10.38888889,0.1,11.0,0.99602
390,-11.33333333,-0.45,11.0,0.99118
391,-10.38888889,-0.45,11.0,0.99602
392,-10.797490550000001,-0.45,9.922569404999999,0.87731
393,-12.384066370000001,0.1,9.918577536999999,0.89604
394,-10.1111111,0.1,9.87499999,0.94744
395,-8.5,0.1,11.0,1.0
396,-9.444444444,-0.45,11.0,1.0
397,-8.5,-0.45,11.0,1.0
398,-9.166666658,0.1,9.87499999,0.95142
399,-6.6111111110000005,0.1,11.0,1.0
400,-7.555555556,-0.45,11.0,1.0
401,-7.536060688,-0.45,9.360544448,0.90639
402,-6.429969137,0.1,9.369356106,0.94154
403,-8.222222213,0.1,9.87499999,0.95142
404,-4.722222222,0.1,11.0,1.0
405,-6.6111111110000005,-0.45,11.0,1.0
406,-5.666666667,-0.45,11.0,1.0
407,-4.722222222,-0.45,11.0,1.0
408,-6.591616243,-0.45,9.360544448,0.90639
409,-4.826462634,-0.45,9.543797029,0.95371
410,-5.4855246929999995,0.1,9.369356106,0.94154
411,-2.833333333,0.1,11.0,1.0
412,-3.777777778,-0.45,11.0,1.0
413,-2.833333333,-0.45,11.0,1.0
414,-3.88201819,-0.45,9.543797029,0.95371
415,-4.541080248,0.1,9.369356106,0.94154
416,-2.6604609729999997,0.1,9.660363801999999,1.0
417,-0.9444444444,0.1,11.0,1.0
418,-1.888888889,-0.45,11.0,1.0
419,-1.716016528,0.1,9.660363801999999,1.0
420,0.9444444444,0.1,11.0,1.0
421,-0.9444444444,-0.45,11.0,1.0
422,-2.168404345e-15,-0.45,11.0,1.0
423,-0.005506840269,-0.45,9.338390474999999,1.0
